Date,Spend,Impressions,CPM,Clicks,CPC,CTR,Acquisitions,CPA,CR,Age,Gender,Targeting,Image,Copy,Bid Type,Placement
6/16/15,28.44,5305,5.360980207,2,14.22,0.000377003,1,28.44,0.5,25-34,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/16/15,16.31,3004,5.42942743,2,8.155,0.000665779,0,0,0,35-44,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/16/15,27.05,5116,5.287333855,3,9.016666667,0.000586396,0,0,0,35-44,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/16/15,12.93,2387,5.416841223,1,12.93,0.000418936,0,0,0,45-54,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/16/15,0.37,99,3.737373737,0,0,0,0,0,0,18-24,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/16/15,10.29,3189,3.226716839,7,1.47,0.002195045,0,0,0,45-54,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/16/15,36.19,11350,3.188546256,27,1.34037037,0.002378855,0,0,0,35-44,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/16/15,23.97,4614,5.195058518,2,11.985,0.000433463,0,0,0,18-24,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/16/15,17.64,5645,3.124889283,14,1.26,0.002480071,0,0,0,18-24,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/16/15,48.63,15263,3.186136408,29,1.676896552,0.00190002,2,24.315,0.068965517,25-34,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/15/15,21.15,5260,4.020912548,9,2.35,0.001711027,1,21.15,0.111111111,35-44,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/15/15,39.96,7656,5.219435737,2,19.98,0.000261233,0,0,0,35-44,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/15/15,18.16,3488,5.206422018,1,18.16,0.000286697,0,0,0,45-54,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/15/15,3.19,902,3.536585366,4,0.7975,0.00443459,0,0,0,65+,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/15/15,7.16,1751,4.089091947,7,1.022857143,0.003997716,0,0,0,45-54,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/15/15,82.81,16255,5.094432482,5,16.562,0.000307598,3,27.60333333,0.6,25-34,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/15/15,39.91,7728,5.164337474,2,19.955,0.000258799,0,0,0,18-24,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/15/15,0.14,74,1.891891892,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/15/15,8.86,1775,4.991549296,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/15/15,19.72,3998,4.932466233,2,9.86,0.00050025,0,0,0,35-44,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/15/15,12.42,2511,4.946236559,1,12.42,0.000398248,0,0,0,18-24,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/15/15,34.77,7046,4.934714732,1,34.77,0.000141924,0,0,0,25-34,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/15/15,23.47,5851,4.011280123,14,1.676428571,0.002392753,0,0,0,25-34,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/15/15,7.38,1929,3.825816485,6,1.23,0.00311042,0,0,0,18-24,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/15/15,0.6,311,1.92926045,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/15/15,0.67,184,3.641304348,0,0,0,0,0,0,18-24,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/15/15,1.46,408,3.578431373,0,0,0,0,0,0,25-34,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/15/15,0.46,131,3.511450382,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/15/15,1.01,278,3.633093525,1,1.01,0.003597122,1,1.01,1,35-44,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/15/15,2.28,1181,1.930567316,1,2.28,0.00084674,0,0,0,25-34,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/15/15,50.04,13881,3.604927599,44,1.137272727,0.0031698,0,0,0,35-44,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/15/15,3.28,878,3.735763098,0,0,0,0,0,0,55-64,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/15/15,12.91,3535,3.652050919,18,0.717222222,0.005091938,1,12.91,0.055555556,45-54,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
